Frame,Tipo_objeto,Confianza,ID_Tracking,x1,y1,x2,y2,Matrícula,Confianza_Matrícula,mx1,my1,mx2,my2,Texto_Matrícula
878,car,0.85,18,1250,316,1387,424,OOC,0.17,67,71,89,79,OOC
884,car,0.84,18,1258,315,1411,433,TO,0.07,75,82,100,92,TO
885,car,0.83,18,1260,315,1414,436,RUC,0.04,74,84,102,94,RUC
886,car,0.81,18,1261,315,1420,438,TZC,0.14,75,85,105,96,TZC
887,car,0.84,18,1261,316,1426,442,50,0.32,82,87,110,98,50
888,car,0.85,18,1262,317,1431,446,E,0.16,82,87,114,98,E
889,car,0.87,18,1263,316,1439,449,IP,0.42,86,90,118,101,IP
890,car,0.87,18,1265,316,1445,452,XOD,0.08,88,92,121,104,XOD
891,car,0.89,18,1265,317,1452,455,X06,0.15,93,93,128,105,X06
893,car,0.83,18,1269,317,1466,461,QIF,0.12,103,98,137,111,QIF
895,car,0.86,18,1276,317,1485,471,I,0.12,108,103,145,117,I
897,car,0.88,18,1280,317,1503,479,FO,0.01,119,109,159,123,FO
898,car,0.87,18,1283,316,1514,484,DLO,0.02,125,114,165,128,DLO
900,car,0.86,18,1290,316,1539,495,KZ,0.00,137,121,181,136,KZ
901,car,0.88,18,1292,317,1552,499,5S,0.25,146,124,191,141,5S
989,car,0.91,26,1611,329,1919,523,83,0.26,256,130,307,147,83
991,car,0.90,26,1586,330,1919,516,E323,0.17,235,121,298,137,E323
993,car,0.92,26,1565,329,1901,505,82728,0.10,215,114,273,130,82728
994,car,0.90,26,1556,329,1881,500,306,0.13,205,111,261,125,306
995,car,0.91,26,1546,330,1859,495,22785S,0.07,195,106,251,122,22785S
997,car,0.91,26,1529,329,1818,486,RT,0.02,178,101,232,116,RT
998,car,0.91,26,1521,328,1798,483,0ES,0.07,170,99,223,113,0ES
999,car,0.87,26,1515,328,1781,480,JEZE5,0.05,161,97,214,111,JEZE5
1000,car,0.89,26,1507,328,1764,476,513,0.22,154,94,206,107,513
1001,car,0.89,26,1499,328,1748,473,LEREJ,0.11,149,92,200,105,LEREJ
